lp2p,lp3p,pi_conj,en1,en2,en3,en4,en5,p
0,0,1,2.55,8.28,3.04,4.75,9.92,0.16
1,0,0,3.44,2.55,6.95,6.6,0,-0.24
0,0,0,2.55,8.19,8.8,0,0,-0.07
0,0,0,2.55,7.84,2.55,6.6,0,0.01
0,0,1,2.58,16.31,6.95,6.6,0,0.77
0,1,0,2.58,2.55,6.95,6.6,0,0.03
0,1,0,2.19,6.2,5.1,13.2,0,0.56
0,0,0,1.9,8.26,13.2,0,0,0.21
0,0,0,1.9,9.08,13.2,0,0,0.17
1,0,0,3.04,4.75,6.95,6.6,0,-0.61
1,0,0,3.04,5.1,13.2,0,0,-0.83
0,0,1,2.58,16.8,5.1,13.2,0,0.65
1,0,0,3.04,5.16,32.62,13.2,0,0.49
0,1,0,2.58,3.04,5.1,13.2,0,0.09
1,0,1,3.04,6.08,3.04,5.1,13.2,-0.03
0,0,1,2.19,11.98,13.2,0,0,0.5
0,0,1,2.19,13.76,5.1,13.2,0,0.53
0,1,0,2.19,5.1,13.2,0,0,0.06
0,0,0,1.9,7.3,13.2,0,0,0.04
0,0,1,2.55,7.65,2.55,11.94,0,0.51
0,0,1,2.55,9.08,6.53,11.94,0,0.46
1,0,1,3.04,5.1,5.1,23.88,0,0.23
0,0,0,2.55,10.51,10.51,11.94,0,0.48
0,0,0,2.55,9.08,23.88,0,0,0.53
0,0,1,2.58,16.31,10.51,10.51,11.94,1.09
0,0,1,2.58,16.31,9.08,23.88,0,1.1
0,1,0,2.58,2.55,10.51,10.51,11.94,0.48
0,1,0,2.58,2.55,9.08,23.88,0,0.51
0,0,0,2.1,2.55,10.51,10.51,11.94,0.48
0,0,0,2.55,8.54,26.08,0,0,0.3
0,0,0,2.55,7.36,5.1,23.88,0,0.44
0,0,0,2.55,7.3,18.24,0,0,0.52
0,0,1,2.55,7.3,4.75,11.94,0,0.17
0,0,1,2.55,7.3,4.75,11.94,0,0.27
0,0,1,2.55,7.3,4.78,16.31,11.94,0.55
0,0,1,2.55,7.3,4.75,9.12,0,0.17
0,0,1,2.55,7.65,2.55,6.6,0,0.03
1,0,0,3.04,5.1,16.03,11.94,0,0.39
0,0,1,2.55,7.3,4.75,9.08,0,0.13
0,0,0,2.55,7.3,8.8,0,0,-0.21
0,0,1,2.55,7.65,11,0,0,0.05
0,0,1,2.55,7.3,4.75,6.6,0,-0.09
0,0,0,2.55,6.95,7.3,4.4,0,-0.14
0,0,0,2.55,8.63,27.59,6.6,0,0.64
1,0,0,3.44,2.55,6.95,7.3,4.4,-0.25
0,0,1,2.55,9.43,6.95,6.6,0,0.48
0,0,1,2.55,10.32,2.55,6.95,6.6,0.45
0,0,0,2.55,7.84,2.55,9.43,6.6,0.05
0,0,0,2.55,6.95,6.95,10.32,2.2,-0.07
0,1,0,2.58,2.55,6.95,7.3,4.4,0.12
0,0,0,2.55,2.55,6.95,7.3,4.4,0.12
0,0,0,2.55,6.95,6.95,6.95,7.65,-0.26
1,0,0,3.04,5.1,16.03,6.6,0,0.26
0,0,0,2.55,7.44,4.75,9.43,6.6,-0.05
1,0,0,3.04,4.75,10.32,2.55,6.95,-0.15
0,0,0,2.55,8.14,23.52,0,0,0.2
1,0,0,3.44,2.55,6.95,6.95,7.84,0
0,0,0,2.55,7.3,6.6,0,0,-0.15
0,0,0,2.55,6.95,6.95,6.6,0,-0.13
1,0,0,3.04,4.75,9.92,4.75,6.95,-0.26
1,0,0,3.04,4.75,8.2,4.75,6.95,0.07
1,0,0,3.44,2.55,7.3,13.2,0,-0.45
1,0,0,3.44,2.55,6.95,6.95,6.6,-0.25
0,0,0,2.55,6.95,8.19,8.8,0,-0.17
0,0,0,2.55,8.54,16.64,2.2,0,-0.14
0,1,0,2.58,2.55,7.3,13.2,0,0.07
0,0,0,2.55,7.44,5.1,13.2,0,0.01
0,0,0,2.01,7.65,19.8,0,0,0
0,0,0,1.9,8.54,15.75,6.6,0,-0.02
1,0,0,3.44,1.9,7.65,19.8,0,-0.27
0,0,0,1.9,9.43,11.7,13.2,0,0.1
0,0,0,1.9,10.32,7.65,19.8,0,0.13
0,0,0,1.9,7.65,19.8,0,0,-0.07
0,0,0,1.96,7.65,19.8,0,0,0
0,0,0,2.66,6.88,5.1,18.86,23.88,1.34
0,0,0,2.55,9.08,18.47,7.96,0,0.53
0,0,1,2.55,9.43,10.51,10.51,11.94,0.79
0,0,0,2.55,7.65,35.82,0,0,0.55
0,0,0,2.55,10.51,10.51,10.51,11.94,0.52
0,0,1,2.58,16.31,7.65,35.82,0,1.13
0,1,0,2.58,2.55,7.65,35.82,0,0.58
0,0,0,2.55,7.74,7.65,35.82,0,0.53
0,0,0,2.55,2.55,7.65,35.82,0,0.54
0,0,0,2.55,7.65,27.36,0,0,0.96
0,0,0,2.55,8.54,20.67,7.96,0,0.37
0,0,1,2.55,7.3,5.1,18.24,0,0.84
0,0,0,2.55,8.14,5.1,13.16,0,0
1,0,0,3.04,5.1,18.86,14.6,0,0.27
1,0,0,3.04,5.1,18.86,15.56,0,0.46
0,0,1,2.55,8.63,10.34,9.85,2.2,0.48
0,0,1,2.55,7.3,4.75,7.3,4.75,0.04
0,0,0,2.55,7.65,24.84,0,0,0.57
0,0,1,2.55,8.14,9.85,13.52,0,0.63
0,0,1,2.55,9.12,7.65,12.05,2.2,0.53
0,0,1,2.55,7.65,13.52,7.65,2.2,0.39
0,0,1,2.55,8.54,7.3,12.4,0,0.02
0,0,1,2.55,7.68,7.3,12.4,0,0.05
0,0,1,2.55,7.65,12.08,7.33,0,-0.02
0,0,1,2.55,7.65,7.3,12.4,0,0.04
0,0,1,2.55,7.2,7.3,12.4,0,0.03
1,0,0,3.04,5.1,14.6,9.5,0,0.37
1,0,0,3.04,5.1,18.86,14.6,0,0.31
0,0,1,2.55,7.3,4.75,9.43,6.6,-0.01
0,0,0,2.66,6.88,5.1,18.86,13.2,0.88
1,0,0,3.04,5.1,18.86,13.2,0,0.33
0,0,0,2.55,7.3,11.35,4.4,0,-0.14
0,0,1,2.55,9.43,7.3,13.2,0,0.47
1,0,0,3.04,4.75,9.43,7.3,13.2,-0.1
0,0,0,2.55,7.65,19.8,0,0,-0.2
0,0,0,2.55,7.3,13.55,6.6,0,-0.12
0,0,0,2.55,6.95,7.3,13.2,0,-0.12
0,0,0,2.55,6.95,6.95,6.95,6.6,-0.16
1,0,0,3.44,2.55,6.95,6.95,6.95,-0.32
0,0,0,2.55,6.95,8.54,15.4,0,-0.17
0,0,0,2.55,10.32,7.65,19.8,0,-0.04
0,0,0,2.18,7.65,6.95,19.8,0,0
0,0,1,2.18,14.53,6.95,19.8,0,0.44
0,0,1,2.18,12.81,6.95,19.8,0,0.44
1,0,0,3.04,4.75,6.95,6.95,6.95,-0.51
1,0,0,3.04,5.1,13.9,13.2,0,-0.72
0,0,1,2.19,11.98,13.9,13.2,0,0.47
1,0,1,3.04,6.08,2.19,13.76,5.1,0.74
0,0,1,2.19,13.76,5.1,13.9,13.2,0.6
0,1,0,2.19,5.1,13.9,13.2,0,0.13
0,0,1,2.19,10.26,13.9,13.2,0,0.46
0,0,0,2.55,7.84,1.9,7.65,19.8,-0.05
0,0,0,2.55,6.3,7.65,19.8,0,-0.21
0,0,1,2.19,12.96,10.2,26.4,0,0.4
0,0,0,2.19,6.08,10.2,26.4,0,0.25
0,0,1,2.55,7.65,14.22,18.24,0,0.98
0,0,1,2.55,8.54,7.3,14.95,9.12,0.1
0,0,1,2.55,8.54,7.3,14.95,9.08,-0.05
0,0,1,2.55,8.14,9.85,12.05,12.05,0.17
0,0,1,2.55,7.65,12.54,9.85,13.03,0.25
0,0,1,2.55,7.65,12.05,13.52,7.65,0.44
0,0,1,2.55,9.12,5.1,14.22,20.85,0.39
0,0,1,2.55,7.65,11.7,13.9,13.9,-0.05
0,0,1,2.55,7.3,4.75,10.32,2.55,0.03
0,0,0,2.55,7.3,13.9,13.9,13.9,-0.14
0,0,1,2.55,9.43,7.65,19.8,0,0.32
1,0,0,3.04,4.75,10.32,2.55,6.95,-0.05
0,0,0,2.55,7.65,20.15,6.6,0,-0.18
0,0,0,2.55,6.95,7.65,19.8,0,-0.17
0,0,0,2.55,6.95,6.95,6.95,6.95,-0.15
1,0,0,3.44,2.55,6.95,6.95,6.95,-0.34
0,0,0,2.55,6.59,13.76,5.1,6.95,0.06
0,0,0,2.55,6.95,6.3,7.65,19.8,-0.17
0,0,0,1.9,8.54,15.1,7.65,19.8,-0.01
0,0,1,2.55,7.65,13.97,13.97,7.32,0.24
0,0,1,2.55,7.65,15.61,15.61,7.96,0.27
0,0,1,2.19,11.98,21.02,21.02,23.88,1.1
1,0,0,3.44,2.19,11.98,21.02,21.02,0.56
1,0,0,3.04,4.39,11.98,21.02,21.02,0.18
